username,tweet,date,time,mentions,hashtags,likes,retweets,comments,replies,views
HealthJob_Cal,lead cybersecurity software engineer lead cybersecurity software engineer focused full stack development security tools enable security software engineer,2025-06-29,06:53:23,,"RemoteITJobs,JobOpening,TechHiring,jobs,TechCareers",0,0,0,0,10
Jobs_IT_USA,desktop support technician desktop support technician job posting pport technician,2025-06-29,06:50:26,,"ITJobs,Techjobs,hiring,TechJobs,jobpostings,jobs,jobsearch",0,0,0,0,5
job_in_tech,lead cybersecurity software engineer lead cybersecurity software engineer focused full stack development security software engineer,2025-06-29,06:50:23,,"jobs,TechCareers,WorkFromHomeTech,jobalert,SoftwareJobs,Recruiting,jobsearch",0,0,0,0,6
BollyMirch,musk slams trump bill insane watch,2025-06-29,06:48:15,,"PresidentTrump,Criticism,BigBeautifulBill,Feud,Destructive,Apology,Jobs,ElonMusk,Politics,Insane",0,0,0,0,85
kid_sit,babysitting job babysitter wanted preschooler small school kid san jose california usa apply san jose ca us,2025-06-29,06:35:38,,"babysitting,childcare,jobs,SanJose",0,0,0,0,12
WorkVisaJobsUSA,usa passion progress meet,2025-06-29,06:00:09,,"hiring,usajobs,visasponsorship,jobs,jobsearch,findjob,career,applynow,ilovemyjob,usa,us,usjob,workinus,unitedstates,h1b,h2b,h2a,eb3,greencard,international,abroad",1,0,1,0,63
ipsofootball,level plain simple depth course opposition analysis book level course sign forget free workshops book ball comfree workshops,2025-06-29,06:00:00,followers,"personaldevelopment,jobs,scouting,recruitment",0,0,0,0,119
GitaRaniJD,hiring sales executive telecounselor ho dwarka mor cita years exp new delhi uttam nagar dwarka classifiedid,2025-06-29,05:49:00,,"dwarka,Delhi,delhijobs,employment,job,jobs,india,jobsinindia,entryleveljobs,walkins,freshersjob,employmentopportunities,jobsearch",0,0,0,0,15
j18yadav,day hr min cp applied deep research regarding assignment shared recruiter assignment occupying majority day call productive day tho,2025-06-29,05:47:29,,"VACATIONS,GRIND,Gym,DSA,Jobs",3,0,0,0,50
patna_press,bihar restart stone mining six districts boost jobs revenue,2025-06-29,05:46:48,,"Bihar,StoneMining,Development,Jobs",2,0,0,0,30
UnlistedJobs,unlisted job alert role project manager ii pso location united states salary skills analytics jira sql markets analytics banking financial services fintech marketing automation employees,2025-06-29,05:44:13,,"remote,jobs",0,0,0,0,34
GitaRaniJD,walkin non engineering graduates paid internship financial software systems fss multiple locations classifiedid,2025-06-29,05:42:59,,"employment,job,jobs,india,jobsinindia,entryleveljobs,walkins,freshersjob,employmentopportunities,jobsearch,jobseekers,jobalert,jobopening",0,0,0,0,16
AgileUAE,agile consultants hiring procurement engineer client heavy industrial electrical manufacturing industry based dubai apply nt engineer,2025-06-29,05:36:26,,"Hiring,Recruitment,Networking,Jobs,Careers,Procurement,Engineering,ApplyNow,AgileConsultants",0,0,0,0,44
